City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
53,Coxim,BR,60.89,clear sky,-18.5067,-54.76,Hotel Avenida
54,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
55,Khash,IR,76.91,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
56,Atuona,PF,79.05,few clouds,-9.8,-139.0333,Villa Enata
57,Fukue,JP,70.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
58,Itoman,JP,82.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
59,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
60,Soyo,AO,76.77,overcast clouds,-6.1349,12.3689,Hotel Mpampa
61,Port Lincoln,AU,62.19,few clouds,-34.7333,135.8667,Port Lincoln Hotel
62,Dangriga,BZ,81.61,overcast clouds,16.9692,-88.2321,Chaleanor Hotel
63,Pochutla,MX,80.42,clear sky,15.7432,-96.4661,Hotel Posada San Jose
64,Puerto Ayora,EC,72.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Ankang,CN,80.56,clear sky,32.68,109.0172,安琪酒店
66,Kanniyakumari,IN,83.98,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
67,Kati,ML,85.41,scattered clouds,12.7441,-8.0726,Lingot d’or
68,Avarua,CK,87.85,clear sky,-21.2078,-159.775,Paradise Inn
69,Gizo,SB,85.57,overcast clouds,-8.103,156.8419,Imagination Island
70,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
71,Jardim,BR,61.29,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
72,Baculin,PH,84.15,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
73,Payo,ID,87.06,overcast clouds,-3.7508,103.6372,Mess keban agung
74,Faanui,PF,81.86,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Sola,VU,81.55,broken clouds,-13.8833,167.55,Leumerus Bungalows
76,Dharchula,IN,75.72,broken clouds,29.85,80.5333,Mahara Hotel
77,Diamantino,BR,66.6,clear sky,-14.4086,-56.4461,Hotel Delta
78,Sur,OM,85.14,clear sky,22.5667,59.5289,Sur Plaza Hotel
79,Ganzhou,CN,78.28,overcast clouds,28.8184,115.4327,Zhanqian Grand Hotel
80,Belyy Yar,RU,71.85,clear sky,53.6039,91.3903,Pasportnyy Stol
81,Ovsyanka,RU,68.97,overcast clouds,55.9575,92.5519,Hotel Alsey Krasnoyarsk
82,Isangel,VU,79.61,clear sky,-19.55,169.2667,Tanna Lodge
83,Flinders,AU,65.17,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
84,Zhanaozen,KZ,61.57,scattered clouds,43.3,52.8,K.korabay 28A
85,Ponta Do Sol,PT,68.63,overcast clouds,32.6667,-17.1,Hotel do Campo
86,Commerce,US,75.97,clear sky,34.0006,-118.1598,DoubleTree by Hilton Hotel Los Angeles - Commerce
87,Cockburn Town,TC,78.46,clear sky,21.4612,-71.1419,Osprey Beach Hotel
88,Mozarlandia,BR,74.68,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
89,Tura,IN,84.94,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
90,Atlanta,US,68.9,broken clouds,33.749,-84.388,Residence Inn by Marriott Atlanta Downtown
