City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Adrar,MR,22-05-07 03:22:56,20.5022,-10.0711,80.55,80.55,14,0,9.15,clear sky
162,Ponta Do Sol,PT,22-05-07 03:22:57,32.6667,-17.1,68.63,62.13,50,85,4.41,overcast clouds
163,Commerce,US,22-05-07 03:18:49,34.0006,-118.1598,75.97,59.99,66,0,5.75,clear sky
164,Cockburn Town,TC,22-05-07 03:22:57,21.4612,-71.1419,78.46,78.46,80,1,15.93,clear sky
165,Ilulissat,GL,22-05-07 03:22:58,69.2167,-51.1,23.02,23.02,63,12,5.75,few clouds
166,Mozarlandia,BR,22-05-07 03:22:58,-14.7447,-50.5706,74.68,74.68,58,2,6.33,clear sky
167,Tura,IN,22-05-07 03:22:59,25.5198,90.2201,84.94,84.94,54,0,1.83,clear sky
168,Atlanta,US,22-05-07 03:20:05,33.749,-84.388,68.9,64.89,62,75,10.36,broken clouds
169,Koping,SE,22-05-07 03:23:00,59.514,15.9926,53.53,51.89,84,100,9.31,light rain
170,Lebu,CL,22-05-07 03:23:00,-37.6167,-73.65,52.3,52.3,92,73,8.14,broken clouds
171,Bandarbeyla,SO,22-05-07 03:23:01,9.4942,50.8122,81.27,81.27,85,31,10.54,scattered clouds
172,Along,IN,22-05-07 03:23:01,28.1667,94.7667,84.65,84.65,55,12,0.63,few clouds
173,Iqaluit,CA,22-05-07 03:23:02,63.7506,-68.5145,13.73,13.73,79,20,12.66,few clouds
174,Gondanglegi,ID,22-05-07 03:23:03,-7.7479,112.0132,86.4,86.4,70,97,6.22,overcast clouds
175,Taoudenni,ML,22-05-07 03:23:03,22.6783,-3.9836,84.87,84.87,13,14,10.6,few clouds
176,Sao Joao Da Barra,BR,22-05-07 03:23:04,-21.6403,-41.0511,68.38,68.38,78,0,9.08,clear sky
177,Severo-Kurilsk,RU,22-05-07 03:23:08,50.6789,156.125,44.33,44.33,87,90,8.52,overcast clouds
178,Mandera,KE,22-05-07 03:23:09,3.9366,41.867,77.36,77.36,74,62,11.5,broken clouds
179,Dikson,RU,22-05-07 03:23:09,73.5069,80.5464,18.63,18.63,89,100,12.82,overcast clouds
180,Sigulda,LV,22-05-07 03:23:10,57.1519,24.8647,41.77,39.74,96,21,1.99,few clouds
181,Villa Carlos Paz,AR,22-05-07 03:23:10,-31.4241,-64.4978,52.83,49.28,10,100,1.99,overcast clouds
182,Hermanus,ZA,22-05-07 03:23:11,-34.4187,19.2345,53.8,53.8,88,100,11.52,moderate rain
183,Emerald,AU,22-05-07 03:23:11,-23.5333,148.1667,74.34,74.34,56,100,10.8,overcast clouds
184,Sarangani,PH,22-05-07 03:23:20,5.4033,125.4636,83.57,83.57,78,78,21.56,broken clouds
185,Chingirlau,KZ,22-05-07 03:24:12,51.095,54.0814,42.4,42.4,44,52,16.53,broken clouds
186,Poum,NC,22-05-07 03:21:26,-20.2333,164.0167,79.34,79.34,68,4,16.37,clear sky
187,Carnarvon,AU,22-05-07 03:24:13,-24.8667,113.6333,87.87,87.87,19,71,10.36,broken clouds
188,Honiara,SB,22-05-07 03:24:13,-9.4333,159.95,86.38,86.38,71,80,7.76,broken clouds
189,Cidreira,BR,22-05-07 03:24:14,-30.1811,-50.2056,61.38,61.38,71,100,0.83,overcast clouds
190,Kolpny,RU,22-05-07 03:24:14,52.2282,37.0368,42.1,42.1,75,79,6.53,broken clouds
191,Keetmanshoop,NA,22-05-07 03:24:15,-26.5833,18.1333,49.48,49.48,81,0,9.71,clear sky
192,Kozhevnikovo,RU,22-05-07 03:24:16,56.2589,83.9714,41.52,41.52,44,21,23.11,few clouds
193,Russell,US,22-05-07 03:24:16,32.3502,-85.1999,71.2,63.55,72,0,0.0,clear sky
194,Marsabit,KE,22-05-07 03:24:17,2.3284,37.9899,63.39,63.39,89,95,15.82,overcast clouds
195,Chokurdakh,RU,22-05-07 03:24:17,70.6333,147.9167,27.39,27.39,85,98,5.26,overcast clouds
196,Sungaipenuh,ID,22-05-07 03:24:18,-2.0833,101.3833,72.59,72.59,83,100,4.18,overcast clouds
197,Abengourou,CI,22-05-07 03:24:19,6.7297,-3.4964,70.5,70.5,97,100,1.79,overcast clouds
198,East London,ZA,22-05-07 03:24:19,-33.0153,27.9116,65.93,65.93,80,97,11.77,overcast clouds
199,Mazagao,BR,22-05-07 03:24:20,-0.115,-51.2894,78.85,78.85,96,100,2.75,overcast clouds
200,Parit Buntar,MY,22-05-07 03:24:20,5.1267,100.4932,89.62,87.01,74,100,1.41,light rain
201,Coquimbo,CL,22-05-07 03:23:16,-29.9533,-71.3436,55.13,55.13,94,100,3.44,overcast clouds
202,Hualmay,PE,22-05-07 03:24:21,-11.0964,-77.6139,64.69,64.69,88,4,6.11,clear sky
203,Ginir,ET,22-05-07 03:24:22,7.1333,40.7,55.89,55.89,86,25,4.34,scattered clouds
204,San Juan,AR,22-05-07 03:22:36,-31.5375,-68.5364,61.05,61.05,44,100,0.87,overcast clouds
205,Domoni,KM,22-05-07 03:24:22,-12.2569,44.5319,79.05,79.05,79,37,9.19,scattered clouds
206,Tinskoy,RU,22-05-07 03:24:23,56.1525,96.9161,64.74,64.74,37,98,13.22,overcast clouds
207,Port Elizabeth,ZA,22-05-07 03:21:53,-33.918,25.5701,62.31,62.31,83,94,5.99,overcast clouds
208,Necochea,AR,22-05-07 03:24:24,-38.5473,-58.7368,55.24,55.24,81,92,7.14,overcast clouds
209,Cayhagan,PH,22-05-07 03:24:24,9.6697,122.4256,88.48,88.48,59,8,11.21,clear sky
210,Saint-Augustin,CA,22-05-07 03:24:25,51.226,-58.6502,28.9,28.9,61,70,14.0,broken clouds
211,Port Hedland,AU,22-05-07 03:24:25,-20.3167,118.5667,86.05,86.05,32,0,17.27,clear sky
212,Srikakulam,IN,22-05-07 03:24:26,18.3,83.9,88.23,88.23,65,68,9.19,broken clouds
213,Tiksi,RU,22-05-07 03:24:27,71.6872,128.8694,17.85,17.85,82,10,18.34,clear sky
214,Bambanglipuro,ID,22-05-07 03:24:31,-7.95,110.2833,85.96,85.96,71,76,8.23,broken clouds
215,Mahibadhoo,MV,22-05-07 03:24:32,3.7833,72.9667,83.84,83.84,77,91,13.62,overcast clouds
216,Trairi,BR,22-05-07 03:24:32,-3.2778,-39.2689,76.24,76.24,90,99,6.13,overcast clouds
217,Ahipara,NZ,22-05-07 03:24:33,-35.1667,173.1667,67.68,67.68,60,5,1.41,clear sky
218,Kunming,CN,22-05-07 03:24:33,25.0389,102.7183,67.93,67.93,56,75,11.18,broken clouds
219,Arraial Do Cabo,BR,22-05-07 03:24:34,-22.9661,-42.0278,72.12,72.12,77,2,19.71,clear sky
220,Killin,US,22-05-07 03:24:34,33.6123,-91.7412,62.69,62.1,88,0,0.0,clear sky
221,Hammerfest,NO,22-05-07 03:24:35,70.6634,23.6821,39.65,39.65,87,75,13.8,light rain
222,Palmer,US,22-05-07 03:24:35,42.1584,-72.3287,54.5,50.59,79,100,0.0,overcast clouds
223,Yar-Sale,RU,22-05-07 03:24:36,66.8333,70.8333,10.92,10.92,86,17,8.41,few clouds
